City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Ibra,OM,83.55,few clouds,22.6906,58.5334,None
644,Wenling,CN,75.24,overcast clouds,28.3669,121.36,None
647,Moindou,NC,79.05,light rain,-21.6924,165.677,None
650,Sakaiminato,JP,78.78,few clouds,35.55,133.2333,None
651,Nanakuli,US,85.95,broken clouds,21.3906,-158.1547,None
652,Namatanai,PG,83.66,broken clouds,-3.6667,152.4333,None
653,Torbat-E Jam,IR,79.14,broken clouds,35.244,60.6225,None
656,Salinopolis,BR,78.06,broken clouds,-0.6136,-47.3561,None
657,Baculin,PH,82.06,overcast clouds,7.4525,126.5842,None
665,Aitape,PG,82.22,overcast clouds,-3.1374,142.3475,None
666,Kant,IN,87.35,clear sky,27.8,79.8,None
667,Kirakira,SB,83.73,overcast clouds,-10.4544,161.9205,None
670,Pyapon,MM,80.26,overcast clouds,16.2833,95.6833,None
676,Salinas,US,78.96,clear sky,36.6777,-121.6555,None
684,Axim,GH,75.15,light rain,4.8699,-2.2405,None
686,Eydhafushi,MV,82.92,overcast clouds,5.1033,73.0708,None
